Change Component Physical Designator: Old Designator=*?.RealTimeClock New Designator=*?.
Change Component Physical Designator: Old Designator=C_senseVccH?.Current_sensor New Designator=C_senseVccH?.
Change Component Physical Designator: Old Designator=C_senseVccN?.Current_sensor New Designator=C_senseVccN?.
Change Component Physical Designator: Old Designator=C_senseVccN?.Current_sensor New Designator=C_senseVccN?.
Change Component Physical Designator: Old Designator=C_senseVccN?.Current_sensor New Designator=C_senseVccN?.
Change Component Physical Designator: Old Designator=D?.MCU New Designator=D?.
Change Component Physical Designator: Old Designator=D?.MCU New Designator=D?.
Change Component Physical Designator: Old Designator=D?.Voltage_sensor New Designator=D?.
Change Component Physical Designator: Old Designator=D?.Voltage_sensor New Designator=D?.
Change Component Physical Designator: Old Designator=D?.Voltage_sensor New Designator=D?.
Change Component Physical Designator: Old Designator=D?.Voltage_sensor New Designator=D?.
Change Component Physical Designator: Old Designator=D?.Voltage_sensor New Designator=D?.
Change Component Physical Designator: Old Designator=D?.Voltage_sensor New Designator=D?.
Change Component Physical Designator: Old Designator=D?.Voltage_sensor New Designator=D?.
Change Component Physical Designator: Old Designator=D?.Voltage_sensor New Designator=D?.
Change Component Physical Designator: Old Designator=D?.Voltage_sensor New Designator=D?.
Change Component Physical Designator: Old Designator=H_load?.Main New Designator=H_load?.
Change Component Physical Designator: Old Designator=HOT_afterTRIAC?.Main New Designator=HOT_afterTRIAC?.
Change Component Physical Designator: Old Designator=Hot_Grid?.Main New Designator=Hot_Grid?.
Change Component Physical Designator: Old Designator=J?.Main New Designator=J?.
Change Component Physical Designator: Old Designator=J?.Main New Designator=J?.
Change Component Physical Designator: Old Designator=J?.Main New Designator=J?.
Change Component Physical Designator: Old Designator=J?.Main New Designator=J?.
Change Component Physical Designator: Old Designator=J?.Main New Designator=J?.
Change Component Physical Designator: Old Designator=J?.Main New Designator=J?.
Change Component Physical Designator: Old Designator=J?.Main New Designator=J?.
Change Component Physical Designator: Old Designator=J?.Main New Designator=J?.
Change Component Physical Designator: Old Designator=N_afterTRIAC?.Main New Designator=N_afterTRIAC?.
Change Component Physical Designator: Old Designator=N_Load?.Main New Designator=N_Load?.
Change Component Physical Designator: Old Designator=Neutral_Grid?.Main New Designator=Neutral_Grid?.
Change Component Physical Designator: Old Designator=P?.MCU New Designator=P?.
Change Component Physical Designator: Old Designator=P?.RealTimeClock New Designator=P?.
Change Component Physical Designator: Old Designator=PS?.Logic_Power New Designator=PS?.
Change Component Physical Designator: Old Designator=Q?.Main New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Main New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Main New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Main New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Voltage_sensor New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Voltage_sensor New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Voltage_sensor New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Voltage_sensor New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Voltage_sensor New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Voltage_sensor New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Voltage_sensor New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Voltage_sensor New Designator=Q?.
Change Component Physical Designator: Old Designator=Q?.Voltage_sensor New Designator=Q?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Current_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Main New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Main New Designator=R?.
Change Component Physical Designator: Old Designator=R?.MCU New Designator=R?.
Change Component Physical Designator: Old Designator=R?.MCU New Designator=R?.
Change Component Physical Designator: Old Designator=R?.RealTimeClock New Designator=R?.
Change Component Physical Designator: Old Designator=R?.RealTimeClock New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=R?.Voltage_sensor New Designator=R?.
Change Component Physical Designator: Old Designator=TP?.Main New Designator=TP?.
Change Component Physical Designator: Old Designator=TRIAC_drive?.Main New Designator=TRIAC_drive?.
Change Component Physical Designator: Old Designator=TRIAC_driver_IN?.Main New Designator=TRIAC_driver_IN?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Current_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Logic_Power New Designator=U?.
Change Component Physical Designator: Old Designator=U?.MCU New Designator=U?.
Change Component Physical Designator: Old Designator=U?.RealTimeClock New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Voltage_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Voltage_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Voltage_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Voltage_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Voltage_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Voltage_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Voltage_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Voltage_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=U?.Voltage_sensor New Designator=U?.
Change Component Physical Designator: Old Designator=V_senseH?.Voltage_sensor New Designator=V_senseH?.
Change Component Physical Designator: Old Designator=V_senseH?.Voltage_sensor New Designator=V_senseH?.
Change Component Physical Designator: Old Designator=V_senseH?.Voltage_sensor New Designator=V_senseH?.
Change Component Physical Designator: Old Designator=V_senseN?.Voltage_sensor New Designator=V_senseN?.
Change Component Physical Designator: Old Designator=V_senseN?.Voltage_sensor New Designator=V_senseN?.
Change Component Physical Designator: Old Designator=V_senseN?.Voltage_sensor New Designator=V_senseN?.
Change Component Physical Designator: Old Designator=V_senseN?.Voltage_sensor New Designator=V_senseN?.
Change Component Physical Designator: Old Designator=V_senseN?.Voltage_sensor New Designator=V_senseN?.
Change Component Physical Designator: Old Designator=V_senseN?.Voltage_sensor New Designator=V_senseN?.
Change Component Physical Designator: Old Designator=V_senseVccG?.Voltage_sensor New Designator=V_senseVccG?.
Change Component Physical Designator: Old Designator=V_senseVccG?.Voltage_sensor New Designator=V_senseVccG?.
Change Component Physical Designator: Old Designator=V_senseVccG?.Voltage_sensor New Designator=V_senseVccG?.
Change Component Physical Designator: Old Designator=V_senseVccH?.Voltage_sensor New Designator=V_senseVccH?.
Change Component Physical Designator: Old Designator=V_senseVccH?.Voltage_sensor New Designator=V_senseVccH?.
Change Component Physical Designator: Old Designator=V_senseVccH?.Voltage_sensor New Designator=V_senseVccH?.
Change Component Physical Designator: Old Designator=V_senseVccN?.Voltage_sensor New Designator=V_senseVccN?.
Change Component Physical Designator: Old Designator=V_senseVccN?.Voltage_sensor New Designator=V_senseVccN?.
Change Component Physical Designator: Old Designator=V_senseVccN?.Voltage_sensor New Designator=V_senseVccN?.
Change Component Physical Designator: Old Designator=Vdiv_G?.Voltage_sensor New Designator=Vdiv_G?.
Change Component Physical Designator: Old Designator=Vdiv_G?.Voltage_sensor New Designator=Vdiv_G?.
Change Component Physical Designator: Old Designator=Vdiv_G?.Voltage_sensor New Designator=Vdiv_G?.
Change Component Physical Designator: Old Designator=Vdiv_H?.Voltage_sensor New Designator=Vdiv_H?.
Change Component Physical Designator: Old Designator=Vdiv_H?.Voltage_sensor New Designator=Vdiv_H?.
Change Component Physical Designator: Old Designator=Vdiv_H?.Voltage_sensor New Designator=Vdiv_H?.
Change Component Physical Designator: Old Designator=Vdiv_N?.Voltage_sensor New Designator=Vdiv_N?.
Change Component Physical Designator: Old Designator=Vdiv_N?.Voltage_sensor New Designator=Vdiv_N?.
Change Component Physical Designator: Old Designator=Vdiv_N?.Voltage_sensor New Designator=Vdiv_N?.
Change Component Physical Designator: Old Designator=Vsense_G?.Voltage_sensor New Designator=Vsense_G?.
Change Component Physical Designator: Old Designator=Vsense_G?.Voltage_sensor New Designator=Vsense_G?.
Change Component Physical Designator: Old Designator=Vsense_G?.Voltage_sensor New Designator=Vsense_G?.
Change Component Physical Designator: Old Designator=Vsense_H?.Voltage_sensor New Designator=Vsense_H?.
Change Component Physical Designator: Old Designator=Vsense_H?.Voltage_sensor New Designator=Vsense_H?.
Change Component Physical Designator: Old Designator=Vsense_H?.Voltage_sensor New Designator=Vsense_H?.
Change Component Physical Designator: Old Designator=Vsense_N?.Voltage_sensor New Designator=Vsense_N?.
Change Component Physical Designator: Old Designator=Vsense_N?.Voltage_sensor New Designator=Vsense_N?.
Change Component Physical Designator: Old Designator=Vsense_N?.Voltage_sensor New Designator=Vsense_N?.
